1,"Расклад-прогноз на месяц","1. Прогноз на месяц по здоровью, рекомендации, на что обратить внимание
2. Прогноз в личной жизни, сфере отношений
3. Прогноз в работе, карьере
4. Прогноз в сфере денег, финансов
5. Совет от карт",2000
2,"Расклад-прогноз на сезон года","1. Вы, и ваше ощущение себя в загаданный сезон (прогноз делается на один сезон: лето, осень, зиму, весну)
2. Основное событие периода
3. Прогноз в карьере, работе, бизнесе
4. Прогноз в сфере денег, финансов
5. Прогноз в отношениях с близкими родственниками
6. Прогноз в личных, любовных отношениях
7. Духовное состояние, саморазвитие
8. Прогноз по здоровью
9. Препятствия, на что обратить внимание
10. Совет от карт",5000
3,"Краткий годовой прогноз-расклад","1. Основная тема, тенденция нового года
2. Прогноз на год по здоровью, рекомендации, на что обратить внимание
3. Прогноз в личной жизни, сфере отношений
4. Прогноз в отношениях с близкими родственниками
5. Прогноз в карьере, бизнесе
6. Прогноз в сфере денег, приобретений или продаж
7. Совет от карт- как действовать, чтобы добиться успеха",1000
4,"Расклад Мой Путь","1. Что представляет из себя ваш текущий период жизни
2. Что осталось позади и какие уроки из этого нужно извлечь
3. Что ждёт впереди, общий настрой
4. Ваши недостатки, которые нужно побороть
5. Сильная сторона, которая должна быть развита
6. Препятствия, которые лежат в вашем пути
7. Что поможет вам двигаться вперёд
8. Некоторые судьбоносные моменты, которые произойдут с вами в обозримом будущем.",7000
5,"Расклад выбор","1. Ваше отношение к выбору и предстоящему решению
2. Последовательность развития событий, в том случае если вы будете действовать в 1 варианте
3. Последовательность развития событий, в том случае если вы будете действовать в 2 варианте
4. Итог выбора и совет от карт, какой путь более правильный для вас",2000
6,"Расклад Решение проблемы","1. Причины возникновения проблемы
2. Ситуация на данный момент
3. Каким образом вы можете повлиять на ситуацию?
4. Что необходимо предпринять?
5. Чего делать не стоит?
6. Способы решения проблемы
7. Конечный результат",1000
7,"Расклад совместимости","1. Что вас связывает?
2. Что вас разделяет?
3. Подходите ли вы друг другу?
4. На что необходимо обратить внимание?
5. Какое будущее вас ждет?",6000
8,"Расклад все о нем","1. Мысли человека о вас, то, как он вас воспринимает
2. Его чувства к вам
3. Объяснение поведения человека по отношению к вам
4. Место, которое человек отводит себе в этих отношениях
5. Восприятие вашей связи, к чему стремится
6. Его переживания и страхи, то, что его может не устраивать в отношениях с вами
7. Планы партнера, что он готов сделать, чтобы продолжить отношения
8. Тенденции развития отношений на ближайшие 3 месяца",4000
9,"Расклад как найти любовь","1. Какой вас видят мужчины
2. Что в вас отталкивает мужчин
3. Что в вас нравится мужчинам
4. Каких мужчин вы притягиваете
5. Какого мужчину стоит искать
6. Тенденции развития в личной жизни на загаданный период
7. Что поможет создать счастливый союз",3000
10,"Расклад тайный враг","1. Психологический портрет недоброжелателя
2. В каких отношениях недоброжелатель состоит с вами
3. Цели, которые преследует загаданный человек
4. Как действия недоброжелателя отражаются на вашей жизни
5. Способы защиты от загаданного человека
6. Результат противостояния на загаданный период времени",500
11,"Расклад вернется ли он","1. Ваша точка зрения об истинной причине расставания
2. Ваша реакция на произошедший разрыв/конфликт, восприятие ситуации
3. Возможные действия, которые могут помочь вернуть любимого
4. То, что делать однозначно не стоит
5. Точка зрения мужчины на истинную причину разрыва
6. Его реакция на это событие
7. Обстоятельства, мешающие мужчине вернуться
8. Вернется ли он к вам в загаданный срок?
9. Общие перспективы отношений
10. Совет от карт или предупреждение",5000
12,"Расклад измена","1. Ваше отношение к партнеру, на данный момент
2. Отношение вашего партнера к вам на данный момент
3. Причины, которые привели к подозрениям
5. Есть ли реальный повод к подозрениям
5. Была ли измена на самом деле
6. Как необходимо поступить вопрошающему
7. Общие перспективы отношений",2000
13,"Расклад человек из прошлого","1. Почему этот человек возвращается в мою жизнь?
2. Кто я в его жизни?
3. Кто он в моей жизни?
4. Могу ли я доверять ему?
5. Что принесут мне отношения или дружба с ним сейчас?
6. К чему в итоге придут наши отношения?
7. Совет от карт",4000
14,"Расклад поиск работы","1. Возможность получения работы в загаданный срок
2. От кого/чего будет зависеть решение о получение работы
3. Условия труда и оплаты
4. Взаимоотношения на работе
5. Другие профессиональные возможности
6. Возможности повышения или роста доходов
7. Совет от карт",7000
15,"Расклад карьера","1. Ваши основные навыки, способности, склонности
2. Преимущества, которые дает эта работа
3. Негативные аспекты, с которыми вы можете столкнуться
4. Какие качества придется развивать в себе, чтобы добиться успеха на этой работе
5. Возможности для развития, состоитесь ли вы в этой профессии
6. Ваша степень удовлетворенности оплатой работы
7. Отношение на работе с коллегами
8. Отношение с руководством
9. Развитие ситуации на загаданный период времени
10. Совет от карт",10000
