1,"0","Шут","Старший Аркан","Следите за новыми проектами и новыми начинаниями","Приготовьтесь принять что-то на веру","На вашем пути появляется что-то новое; дерзайте",""
2,"1","Маг","Старший Аркан","Могущественный мужчина может сыграть роль в твоем дне","Ваша текущая ситуация должна рассматриваться как один из элементов гораздо большего плана","",""
3,"2","Верховная жрица","Старший Аркан","Приходит загадочная женщина","Может всплыть сексуальная тайна","Кто-то знает больше, чем он или она скрывает",""
4,"3","Императрица","Старший Аркан","Беременность в картах","Приближается возможность окунуться в роскошную сексуальность","Остерегайтесь склонности к зависимости",""
5,"4","Император","Старший Аркан","Приходит фигура отца","Новый работодатель или авторитет будет отдавать вам распоряжения","Ожидайте дисциплины или исправления в ближайшем будущем",""
6,"5","Верховный жрец","Старший Аркан","Ожидайте, что вас поймают на проступке и понесут соответствующее наказание","Молитесь о прощении и признайтесь в проступках","В вашу жизнь войдет более опытный человек, духовный лидер или отец",""
7,"6","Влюбленные","Старший Аркан","Расцветают новые личные или профессиональные отношения","Сексуальных возможностей предостаточно","Неожиданно друг становится любовником",""
8,"7","Колесница","Старший Аркан","Будьте уверенны в Победе","Продвигайтесь вперед со всеми планами","Остерегайтесь ревности других",""
9,"8","Сила","Старший Аркан","Ваше самообладание будет проверено","Женщина будет стремиться изменить своего партнера или любовника","Ты сильный, способный человек",""
10,"9","Отшельник","Старший Аркан","Начинается период одиночества","Уходит один партнер в отношениях","Поиск любви или денег бесплоден",""
11,"10","Колесо Фортуны","Старший Аркан","Некоторые события в руках неба","Вы уже пережили это раньше","Что случится потом?",""
12,"11","Правосудие","Старший Аркан","Скоро будет вынесен приговор","Кто-то принимает решение","Вам нужно получить факты",""
13,"12","Повешенный","Старший Аркан","Обнаружен предатель","Один из твоих друзей работает против тебя","Измените свой образ жизни или пострадайте от последствий",""
14,"13","Смерть","Старший Аркан","Отношения или болезнь внезапно заканчиваются","Ограничьте поездки и риск","Всеобщий мрак и гибель",""
15,"14","Умеренность","Старший Аркан","Кто-то чрезмерно употребляет наркотики или алкоголь","Пора вернуться к этой диете","",""
16,"15","Дьявол","Старший Аркан","Прелюбодеяние и измена","Вам предстоит череда крайне невезений","Остерегайтесь злых влияний и волков в овечьей шкуре",""
17,"16","Башня","Старший Аркан","Надвигающаяся катастрофа","Отменить планы и отменить решения","Кто-то хочет поставить вас на ступеньку ниже","Не сдерживайся; говори то, что имеешь в виду на самом деле"
18,"17","Звезда","Старший Аркан","Составьте астрологическую карту","Кто-то слишком поражен звездным небом","То, что происходит сейчас, давно предопределено",""
19,"18","Луна","Старший Аркан","Следите за проблемами в конце месяца","Кому-то, кого вы знаете, нужно чаще выть на луну","Кто-то собирается изменить свое мнение по поводу важного решения",""
20,"19","Солнце","Старший Аркан","Все вырастают розы (или подсолнухи, в любом случае)","Что бы вы ни думали, дерзайте, потому что сегодня вы не можете проиграть","",""
21,"20","Страшный суд","Старший Аркан","Старая проблема, о которой вы думали, будет решена сегодня снова","Будьте готовы к огромным переменам: разрывам отношений, внезапным звонкам старых друзей и неожиданным неудачам","Бог пытается привлечь ваше внимание",""
22,"21","Мир","Старший Аркан","Выигрыш в лотерею","Получение заветного желания","Имея все, что вы когда-либо представляли",""
23,"1","Туз кубков","Кубки","Романтика в картах","Новые отношения или брак не за горами","Ответы на молитвы",""
24,"2","2 кубков","Кубки","Кто-то втайне влюблен в вас","Отношения должны быть взаимными; избавься от пиявки","",""
25,"3","3 кубков","Кубки","На вашем пути нетрадиционный роман: роман с тем, кого вы всегда отвергали","","",""
26,"4","4 кубков","Кубки","Возлюбленный становится беспокойным","Узнайте, что ему или ей нужно, иначе новые возможности могут переманить вашего партнера","",""
27,"5","5 кубков","Кубки","Надвигается разрыв","Не плачь над пролитым молоком","Возьми свои шишки и возвращайся в седло",""
28,"6","6 кубков","Кубки","Скупой дух душит твои радости жизни","Расслабься и подумай хоть раз о других, почему бы и нет?","",""
29,"7","7 кубков","Кубки","Тебя кормят строчкой","Вместо того, чтобы восхищаться красивыми словами и обещаниями, требуйте чего-то настоящего","",""
